brand,make,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive,age,country
Renault,Twingo,3099,91366,M,2/3,0,47,1461.0,diesel,1,WH,2,0,HB,4,F,11,French
Daewoo,Tacuma,500,140000,M,4/5,0,74,1800.0,petrol,0,GR,2,0,VAN,3,F,18,Asian
Audi,A6,1350,250000,M,4/5,0,115,2500.0,diesel,1,GR,4,0,SW,3,F,19,German
Toyota,Yaris,3499,155000,M,4/5,0,51,1000.0,petrol,1,VAR,2,0,HB,4,F,12,Asian
Mercedes,C 200,3300,287000,M,4/5,0,90,2148.0,diesel,0,BL,4,0,SDN,3,B,16,German
Renault,Laguna,1299,216000,M,4/5,0,88,1897.0,diesel,0,GR,4,0,SDN,3,F,19,French
Seat,Ibiza,1850,210400,M,4/5,0,74,1400.0,diesel,1,VAR,4,0,HB,3,F,17,EU
Škoda,Rapid,9250,105000,A,4/5,1,90,1390.0,petrol,0,WH,4,0,SW,5,F,7,EU
Škoda,Octavia,4580,138150,M,4/5,1,77,1896.0,diesel,1,WH,2,0,SW,4,F,14,EU
Kia,Sportage,3950,240000,A,4/5,0,83,1997.0,diesel,0,VAR,2,0,SUV,3,4x4,16,Asian
Škoda,Octavia,9250,88000,M,4/5,1,77,1197.0,petrol,0,BL,4,0,SW,5,F,7,EU
Toyota,Yaris,1950,275000,M,2/3,0,64,1300.0,LPG,0,BL,2,0,SDN,3,F,19,Asian
Opel,Astra,1150,440000,M,4/5,0,74,1996.0,diesel,0,WH,0,0,SW,3,F,19,German
Peugeot,206,1890,193492,M,4/5,0,50,1398.0,diesel,0,GR,2,0,SW,3,F,16,French
Toyota,RAV4,4350,196000,M,4/5,0,85,1995.0,diesel,0,BL,4,0,SUV,3,4x4,16,Asian
Chevrolet,Spark,3290,148000,M,4/5,0,60,1206.0,petrol,0,WH,4,0,HB,5,F,9,USA
Škoda,Fabia,3740,186000,M,4/5,1,77,1896.0,diesel,0,WH,2,0,SM,4,F,12,EU
Fiat,Stilo,1550,175000,M,4/5,0,85,1900.0,diesel,0,VAR,2,0,SW,4,F,17,Italian
Shuanghuan,CEO,2300,30000,M,4/5,0,92,2351.0,petrol,0,BL,4,0,SUV,4,4x4,12,Other
Fiat,Brava,800,230000,M,4/5,0,59,1370.0,petrol,1,VAR,2,0,HB,2,F,24,Italian
Škoda,Octavia,7010,169000,A,4/5,1,77,1598.0,diesel,1,GR,2,0,SW,5,F,7,EU
